"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
15074,3.23827733333333,9.130905,18.08,273.8,-81.77,11.16,1.16,0
15077,3.23986773333333,9.201682,2.67,3.98,-18.48,8.31,1.182,0
15081,3.24091933333333,13.07389,0.7,-4.19,-3.09,8.79,0.318,0
15083,3.24222393333333,12.656933,7.88,69.3,-32.89,9.36,0.801,0
15098,3.2461274,18.028631,4.04,-0.75,-0.02,8.95,0.357,0
15099,3.246452,8.980792,44.96,401.17,-404.84,7.83,0.861,0
15100,3.24644686666667,20.341352,7.76,-13.28,2.56,9.16,0.38,0
15109,3.24810553333333,15.527143,7.27,171.94,-56.02,9.51,0.642,0
15110,3.24836,21.044441,9.59,-29.83,-77.15,4.87,-0.007,0
15113,3.24867953333333,13.142368,7.32,37.47,-6.05,9.64,0.6,0
15115,3.24880366666667,4.300178,4.14,1.49,-7.33,8.85,0.23,0
15117,3.24883173333333,12.432396,7.06,19.32,-16.58,9.48,0.652,0
15129,3.25180246666667,16.255277,4.53,-16.39,-50.93,8.44,0.582,0
15134,3.25212693333333,16.303396,12.13,133.29,-78.41,8.83,0.67,0
15137,3.25226353333333,14.896601,6.13,2.88,-5.29,10.98,0.048,0
15153,3.25520093333333,14.303084,9.77,11.85,-28.15,8,0.615,0
15157,3.2560744,5.840719,4.21,18.6,2.49,10.17,0.542,0
15169,3.25873633333333,4.043939,9.03,39.02,26.22,9.86,0.549,0
15189,3.26279593333333,21.165141,7.62,59.12,5.16,7.91,0.359,0
15198,3.26480833333333,20.702087,3.96,3.57,-8.86,8.08,0.073,0
15206,3.26753493333333,11.628448,10.74,194.35,-14.44,8.01,0.608,0
15214,3.2687902,7.081866,8.31,20.08,-0.41,9.4,0.453,0
15227,3.27205173333333,19.337771,0.57,-11.9,-3.29,7.86,1.132,0
15233,3.27373613333333,13.851491,0.66,8.27,-1.26,8.47,1.542,0
15249,3.27850826666667,15.657229,15.18,111.79,-200.82,8.76,0.67,0
15253,3.27935453333333,5.019476,10.82,25.64,-268.07,9.22,0.605,0
15267,3.28249813333333,23.126759,7.86,8.72,-70.4,7.32,1.296,0
15268,3.28257486666667,22.833497,0.48,5.49,-22.17,9.14,1.249,0
15278,3.28514393333333,24.03515,18.4,107.1,6.09,8.96,0.719,0
15279,3.2858344,6.799888,11.88,48.41,-31.95,6.96,0.263,0
15283,3.28656213333333,15.406627,1.25,-10.87,-25.82,8.48,1.14,0
15288,3.28756266666667,10.142176,10.54,58.28,1.74,9.16,0.501,0
15298,3.28955573333333,9.105972,5.4,25.51,-1.71,9.28,1.089,0
15299,3.28956033333333,5.752984,2.66,-1.24,-27.93,10.1,0.502,0
15304,3.29066333333333,7.655808,20.2,169.3,-7.64,7.38,0.567,0
15310,3.29243913333333,7.690152,21.64,170.41,-7.48,7.78,0.617,1
15333,3.29592726666667,3.681439,4.56,27.81,-55.79,7.8,1.018,0
15341,3.29715513333333,22.832191,8.5,22.79,-43.58,7.64,0.267,0
15345,3.29789366666667,13.847227,4.21,-4.58,-2.79,7.54,0.112,0
15362,3.30125986666667,6.484326,14.7,72.71,-111,8.8,0.702,0
15365,3.30179353333333,4.969426,8.12,-15.27,-14.91,7.99,0.287,0
15368,3.30213246666667,8.04426,13.76,58.94,-3.7,11.47,0.9,0
15374,3.3041944,9.24515,24.54,123.52,15.81,11.91,1.341,0
15375,3.3042148,12.823838,5.71,10.26,-9.47,7.76,0.225,0
15380,3.30553706666667,24.081817,6.45,-29.39,-32.84,7.25,1.178,0
15381,3.305551,18.171623,19.19,-82.92,-103.63,7.52,0.642,0
15394,3.307538,15.177348,17.54,-1.48,-301.25,7.42,0.79,0
15395,3.307773,6.227622,4.46,0.52,3.92,10.07,0.413,0
15397,3.3084804,5.813875,2.82,-6.86,-10.2,9.1,1.128,0
15401,3.30977846666667,10.312375,22.66,147.35,-80.83,12.25,1.485,0
15412,3.31146,18.472875,15.52,38.53,-35.35,8.7,0.71,0
15423,3.31283206666667,7.393222,3.46,-11.22,-16.7,9.14,0.605,0
15427,3.31396486666667,4.209599,12.22,5.29,19.19,9,0.704,0
15433,3.3147118,7.289964,2.2,6.78,-10.17,9.45,0.388,0
15443,3.31809373333333,3.608561,8.47,18.43,-5.54,11.26,0.637,0
15471,3.32463666666667,12.61544,4.33,8.73,-16.05,8.74,1.495,0
15489,3.32720653333333,12.00404,6.84,-41.19,-46.3,9.78,0.688,0
15503,3.32951066666667,5.202627,2.85,14.3,2.88,10.1,0.361,0
15506,3.32993393333333,19.07625,4.2,8.88,-9.3,7.43,-0.047,0
15508,3.331112,13.377072,4.07,1.78,-10.06,7.12,0.783,0
15509,3.331174,20.277166,4.5,28.96,-10.28,8.35,0.27,0
15513,3.33213046666667,21.516447,3.48,16.69,-19.27,8.76,0.655,0
15515,3.33222733333333,8.699773,4.54,-7.94,-4.98,7.44,0.04,0
15519,3.33312246666667,17.500966,7.24,33.77,45.41,7.77,0.335,0
15525,3.33403006666667,15.657912,4.74,-13.79,1.56,8.89,0.477,0
15532,3.3352076,12.718566,4.48,27.74,-32.64,10.51,0.914,0
15536,3.33563206666667,14.834281,6.95,-17.4,-19.96,9.77,0.624,0
15542,3.3376028,6.221521,2.69,6.8,-1.86,9.45,0.225,0
15546,3.33870906666667,16.423702,5.98,4.94,-7.15,9.25,1.171,0
15550,3.33906566666667,19.730357,7.14,16.03,-14.2,7.6,0.188,0
15552,3.33923606666667,23.689288,7.76,30.52,-56.38,7.46,0.279,0
15555,3.33981293333333,19.872715,5.42,2.82,0.32,6.9,1.223,0
15558,3.34054653333333,14.174646,3.42,16.76,-17.96,9.07,0.529,0
15563,3.3414434,8.454444,34.18,228.24,2.51,9.65,1.13,0
15564,3.34238113333333,16.332988,1.5,3.03,-8.14,9.22,0.449,0
15565,3.34269633333333,12.346597,15.14,136.66,12.12,7.34,0.468,0
15566,3.34281873333333,19.180395,3.7,10.17,-11.02,8.28,0.184,0
